순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS
25,황동재,삼성,6.97,15,0,1,0,0,0.000,20 2/3,27,1,14,2,22,16,16,1.98,0,0,0,0,104,403,0.31,2,0,0,1,0,3,0,1,0,0,5,0,0,1,22,17,1.29,0.4,26.9,19.5,9.58,6.1,1.57,0.413,0.368,0.781
26,오승환,삼성,8.0,12,0,0,0,0,-,9,15,1,3,0,7,8,8,2.0,0,0,0,0,45,173,0.366,5,0,0,1,0,1,0,0,0,0,4,1,0,0,10,10,1.0,0.412,14.4,19.2,7.0,3.0,2.33,0.4,0.561,0.961
27,최성훈,삼성,9.0,2,0,0,0,0,-,1,1,0,1,0,1,1,1,2.0,0,0,0,0,5,20,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.0,0.333,10.0,20.0,9.0,9.0,1.00,0.4,0.25,0.65
28,정민성,삼성,36.0,1,0,1,0,0,0.000,1,3,0,0,2,0,4,4,3.0,0,0,0,0,7,23,0.6,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0.0,0.6,23.0,23.0,0.0,0.0,-,0.714,1.4,2.114
29,최충연,삼성,37.8,4,0,0,0,0,-,1 2/3,7,1,2,1,1,8,7,5.4,0,0,0,0,15,60,0.583,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1.0,0.6,15.0,36.0,5.4,10.8,0.50,0.667,0.917,1.584
1,데이비슨,NC,0.0,1,0,0,0,0,-,1/3,0,0,0,0,0,0,0,0.0,0,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,2.0,6.0,0.0,0.0,-,0.0,0.0,0.0
2,구창모,NC,2.51,4,1,0,0,0,1.000,14 1/3,14,1,3,0,18,4,4,1.19,0,0,0,0,59,250,0.25,3,0,0,0,0,1,0,3,0,1,0,0,0,1,11,13,0.85,0.351,62.5,17.4,11.3,1.88,6.00,0.288,0.357,0.645
3,김영규,NC,2.86,45,4,3,0,21,0.571,44,40,3,18,3,35,17,14,1.32,0,0,0,1,189,762,0.253,4,0,5,5,4,6,0,0,0,4,1,21,0,6,48,40,1.2,0.296,16.9,17.3,7.16,3.68,1.94,0.332,0.335,0.667
4,류진욱,NC,3.27,62,4,3,29,0,0.571,66,50,6,28,6,57,27,24,1.18,0,0,0,1,275,1061,0.21,7,1,2,1,3,5,0,0,0,4,51,31,5,8,79,53,1.49,0.25,17.1,16.1,7.77,3.82,2.04,0.308,0.324,0.632
5,김진호,NC,3.36,76,4,3,6,20,0.571,72 1/3,53,5,45,9,70,30,27,1.35,0,0,0,5,316,1303,0.205,12,1,2,1,1,9,1,0,0,4,11,30,0,5,62,75,0.83,0.259,17.1,18.0,8.71,5.6,1.56,0.341,0.317,0.658
6,라일리,NC,3.45,30,17,7,0,0,0.708,172,136,18,56,3,216,76,66,1.12,0,0,16,0,709,2916,0.212,25,2,4,4,0,5,0,30,17,0,0,0,0,5,134,160,0.84,0.286,97.2,17.0,11.3,2.93,3.86,0.277,0.341,0.618
7,임지민,NC,3.86,7,0,1,0,1,0.000,4 2/3,1,0,5,0,7,2,2,1.29,0,0,0,1,20,84,0.071,0,0,0,1,0,0,0,0,0,0,3,2,0,0,2,5,0.4,0.125,12.0,18.0,13.5,9.64,1.40,0.3,0.071,0.371
8,전사민,NC,4.26,74,7,7,2,13,0.500,82 1/3,86,3,33,11,62,45,39,1.45,0,0,0,4,370,1341,0.273,12,2,8,3,4,7,0,0,0,7,6,17,1,9,108,62,1.74,0.328,18.1,16.3,6.78,3.61,1.88,0.359,0.352,0.711
9,손주환,NC,4.35,52,6,1,0,7,0.857,51 2/3,53,5,19,1,37,29,25,1.39,0,0,0,0,224,807,0.264,5,0,1,2,0,0,0,0,0,6,7,5,0,5,61,52,1.17,0.298,15.5,15.6,6.45,3.31,1.95,0.327,0.363,0.69
10,배재환,NC,4.48,70,2,4,2,24,0.333,60 1/3,48,3,37,11,51,36,30,1.41,0,0,0,3,271,1117,0.221,6,1,6,0,4,6,0,0,0,2,6,32,0,5,42,76,0.55,0.276,16.0,18.5,7.61,5.52,1.38,0.362,0.3,0.662
11,로건,NC,4.53,32,7,12,0,0,0.368,173,180,18,67,10,149,98,87,1.43,0,0,16,0,770,3037,0.263,30,2,3,5,3,6,0,31,7,0,0,0,0,13,188,173,1.09,0.31,94.9,17.6,7.75,3.49,2.22,0.335,0.391,0.726
12,신민혁,NC,4.77,28,6,3,0,0,0.667,132,148,23,26,6,84,76,70,1.32,1,0,5,0,568,2292,0.281,18,2,4,5,1,3,0,28,6,0,1,0,0,6,118,182,0.65,0.294,81.9,17.4,5.73,1.77,3.23,0.319,0.454,0.773
13,임정호,NC,4.82,31,1,1,0,4,0.500,18 2/3,18,3,9,4,15,13,10,1.45,0,0,0,2,88,336,0.254,3,1,3,1,1,1,0,0,0,1,3,6,0,1,22,17,1.29,0.278,10.8,18.0,7.23,4.34,1.67,0.365,0.451,0.816
14,김태훈,NC,5.21,18,0,0,0,0,-,19,17,4,16,1,9,15,11,1.74,0,0,0,0,94,356,0.224,2,0,1,0,0,5,0,0,0,0,8,0,0,0,26,24,1.08,0.206,19.8,18.7,4.26,7.58,0.56,0.366,0.408,0.774
15,소이현,NC,5.63,7,0,0,0,0,-,8,5,0,7,1,3,5,5,1.5,0,0,0,0,36,140,0.192,1,0,1,1,0,2,0,0,0,0,4,0,0,1,7,12,0.58,0.208,20.0,17.5,3.38,7.88,0.43,0.371,0.231,0.602
16,목지훈,NC,6.05,16,3,5,0,0,0.375,58,68,6,42,5,45,42,39,1.9,0,0,1,0,280,1115,0.298,8,3,2,3,1,9,2,15,3,0,0,0,0,3,60,58,1.03,0.344,69.7,19.2,6.98,6.52,1.07,0.414,0.439,0.853
17,김재열,NC,6.23,22,0,0,0,2,-,21 2/3,32,5,16,1,16,16,15,2.22,0,0,0,0,111,402,0.356,6,1,2,2,1,2,0,0,0,0,10,3,0,2,20,24,0.83,0.38,18.3,18.6,6.65,6.65,1.00,0.45,0.611,1.061
17,최성영,NC,6.23,35,2,2,0,4,0.500,47 2/3,62,6,28,3,33,33,33,1.89,0,0,0,0,228,921,0.33,13,2,4,5,1,2,1,6,1,1,2,4,0,8,53,45,1.18,0.364,26.3,19.3,6.23,5.29,1.18,0.415,0.516,0.931
19,김녹원,NC,6.56,21,3,4,0,1,0.429,70,75,10,47,3,37,53,51,1.74,0,0,0,0,327,1290,0.277,13,1,5,1,0,4,0,16,3,0,1,0,0,7,67,93,0.72,0.289,61.4,18.4,4.76,6.04,0.79,0.388,0.443,0.831
20,하준영,NC,6.75,10,1,1,0,1,0.500,5 1/3,10,0,7,0,5,4,4,3.19,0,0,0,0,33,126,0.385,4,0,0,0,1,0,0,0,0,1,2,0,0,1,4,7,0.57,0.476,12.6,23.6,8.44,11.81,0.71,0.515,0.538,1.053
21,조민석,NC,6.92,6,0,1,0,0,0.000,13,12,3,11,2,4,10,10,1.77,0,0,0,0,61,258,0.25,2,0,0,0,0,2,0,2,0,0,1,0,0,3,16,16,1.0,0.22,43.0,19.8,2.77,7.62,0.36,0.41,0.479,0.889
22,이준혁,NC,7.3,25,1,3,0,0,0.250,37,43,8,20,6,30,33,30,1.7,0,0,0,0,170,699,0.305,7,1,2,1,2,4,0,3,0,1,5,1,0,9,39,30,1.3,0.337,28.0,18.9,7.3,4.86,1.50,0.411,0.539,0.95
23,신영우,NC,7.53,8,1,3,0,0,0.250,14 1/3,8,2,16,3,19,13,12,1.67,0,0,0,0,68,307,0.174,2,0,1,2,0,4,0,3,0,1,2,0,0,0,10,11,0.91,0.222,38.4,21.4,11.93,10.05,1.19,0.403,0.348,0.751
24,김민규,NC,7.71,7,0,0,0,1,-,4 2/3,5,0,4,0,2,4,4,1.93,0,0,0,0,23,96,0.278,2,0,0,1,1,0,0,0,0,0,1,0,0,0,7,5,1.4,0.294,13.7,20.6,3.86,7.71,0.50,0.391,0.389,0.78
25,최우석,NC,8.16,12,0,0,0,0,-,14 1/3,23,1,9,0,15,16,13,2.23,0,0,0,0,75,282,0.359,5,0,1,1,0,5,0,0,0,0,4,0,0,1,14,13,1.08,0.449,23.5,19.7,9.42,5.65,1.67,0.432,0.484,0.916
26,도태훈,NC,9.0,1,0,0,0,0,-,1,3,1,0,0,1,1,1,3.0,0,0,0,0,6,16,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.0,0.5,16.0,16.0,9.0,0.0,-,0.5,1.0,1.5
27,이용찬,NC,10.57,12,1,2,0,1,0.333,15 1/3,23,1,12,4,14,18,18,2.28,0,0,0,1,83,334,0.348,4,0,0,1,1,2,0,3,0,1,1,1,0,1,14,16,0.88,0.423,27.8,21.8,8.22,7.04,1.17,0.47,0.455,0.925
28,김태경,NC,10.64,6,0,0,0,1,-,11,18,4,9,2,10,20,13,2.45,0,0,0,0,62,266,0.367,3,0,2,0,1,1,0,4,0,0,0,1,0,0,8,13,0.62,0.4,44.3,24.2,8.18,7.36,1.11,0.483,0.673,1.156
29,김태현,NC,12.0,5,0,0,0,1,-,3,5,2,3,2,2,4,4,2.67,0,0,0,0,17,69,0.417,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,1.5,0.375,13.8,23.0,6.0,9.0,0.67,0.588,1.0,1.588
30,임상현,NC,18.0,1,0,0,0,0,-,1,2,0,3,0,0,2,2,5.0,0,0,0,0,8,34,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.4,34.0,34.0,0.0,27.0,0.00,0.625,0.6,1.225
1,최용준,KT,2.0,7,1,0,0,0,1.000,9,13,0,2,0,5,2,2,1.67,0,0,0,0,39,128,0.351,1,0,0,0,1,0,0,0,0,1,1,0,0,2,5,14,0.36,0.406,18.3,14.2,5.0,2.0,2.50,0.385,0.378,0.763
2,우규민,KT,2.44,53,1,2,0,9,0.333,44 1/3,45,2,3,4,24,12,12,1.08,0,0,0,1,185,665,0.259,6,0,4,0,1,0,0,0,0,1,10,14,0,2,52,53,0.98,0.291,12.5,15.0,4.87,0.61,8.00,0.287,0.328,0.615
3,이상동,KT,2.49,41,3,0,0,5,1.000,43 1/3,31,4,9,2,34,12,12,0.92,0,0,0,1,168,656,0.203,6,0,2,2,1,1,0,0,0,3,5,10,0,2,32,58,0.55,0.231,16.0,15.1,7.06,1.87,3.78,0.253,0.32,0.573
4,박건우,KT,2.7,6,0,0,0,0,-,6 2/3,4,1,4,0,9,2,2,1.2,0,0,0,0,28,117,0.167,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,8,0.38,0.214,19.5,17.6,12.15,5.4,2.25,0.286,0.292,0.578
5,패트릭,KT,3.12,15,3,3,0,2,0.500,60 2/3,63,2,21,2,45,26,21,1.38,0,0,2,0,267,992,0.259,10,2,1,0,0,5,0,9,3,0,0,4,0,4,75,60,1.25,0.311,66.1,16.4,6.68,3.12,2.14,0.323,0.342,0.665
6,문용익,KT,3.14,20,1,0,0,0,1.000,28 2/3,21,3,19,0,31,11,10,1.4,0,0,0,0,121,528,0.212,7,0,2,1,1,0,0,2,1,0,5,0,0,2,27,21,1.29,0.273,26.4,18.4,9.73,5.97,1.63,0.336,0.374,0.71
7,고영표,KT,3.3,29,11,8,0,0,0.579,161,170,10,30,15,154,70,59,1.24,1,1,20,0,685,2525,0.272,31,2,7,7,2,4,1,26,11,0,2,0,0,14,190,119,1.6,0.341,87.1,15.7,8.61,1.68,5.13,0.317,0.375,0.692
8,소형준,KT,3.3,26,10,7,1,0,0.588,147 1/3,155,6,29,3,123,60,54,1.25,0,0,18,0,617,2209,0.268,24,3,6,1,1,4,0,24,10,0,1,1,0,13,189,112,1.69,0.331,85.0,15.0,7.51,1.77,4.24,0.306,0.351,0.657
9,박영현,KT,3.39,67,5,6,35,1,0.455,69,68,9,34,2,77,31,26,1.48,0,0,0,7,305,1228,0.258,10,1,4,1,4,6,1,0,0,5,53,43,3,3,37,83,0.45,0.33,18.3,17.8,10.04,4.43,2.26,0.346,0.405,0.751
10,오원석,KT,3.67,25,11,8,0,0,0.579,132 1/3,130,10,52,4,113,60,54,1.38,0,0,12,0,565,2187,0.261,25,1,7,4,1,5,0,25,11,0,0,0,0,10,132,127,1.04,0.317,87.5,16.5,7.69,3.54,2.17,0.333,0.376,0.709
11,손동현,KT,3.84,58,5,0,1,13,1.000,58 2/3,66,6,12,3,55,30,25,1.33,0,0,0,2,257,938,0.278,16,1,4,1,3,4,0,0,0,5,7,17,0,0,43,74,0.58,0.339,16.2,16.0,8.44,1.84,4.58,0.32,0.43,0.75
12,전용주,KT,3.95,21,0,1,0,4,0.000,13 2/3,18,0,7,0,11,8,6,1.83,0,0,0,0,66,257,0.31,4,0,0,1,1,3,0,0,0,0,0,7,0,1,20,10,2.0,0.375,12.2,18.8,7.24,4.61,1.57,0.379,0.379,0.758
13,헤이수스,KT,3.96,32,9,9,0,1,0.500,163 2/3,173,17,44,8,165,85,72,1.33,0,0,15,0,712,2716,0.267,22,2,8,3,0,7,2,30,9,0,0,0,0,7,171,143,1.2,0.332,84.9,16.6,9.07,2.42,3.75,0.32,0.385,0.705
14,주권,KT,4.43,34,0,1,0,0,0.000,40 2/3,48,3,13,0,19,23,20,1.5,0,0,0,1,176,634,0.302,2,0,3,1,1,0,1,0,0,0,14,1,0,10,56,37,1.51,0.326,18.6,15.6,4.2,2.88,1.46,0.353,0.371,0.724
15,김민수,KT,4.96,58,4,3,0,11,0.571,52 2/3,63,5,15,1,36,31,29,1.48,0,0,0,1,230,817,0.303,11,2,2,4,1,5,0,0,0,4,12,21,0,3,56,57,0.98,0.339,14.1,15.5,6.15,2.56,2.40,0.346,0.447,0.793
16,임준형,KT,5.19,10,0,0,0,0,-,8 2/3,11,0,7,1,6,7,5,2.08,0,0,0,0,42,179,0.333,1,0,1,0,0,1,0,0,0,0,3,0,0,3,10,6,1.67,0.407,17.9,20.7,6.23,7.27,0.86,0.463,0.364,0.827
17,원상현,KT,5.21,52,0,3,0,14,0.000,57,56,8,35,1,45,35,33,1.6,0,0,0,0,259,1009,0.257,10,0,2,3,3,4,0,0,0,0,5,17,0,2,62,58,1.07,0.286,19.4,17.7,7.11,5.53,1.29,0.358,0.413,0.771
18,조이현,KT,5.4,3,1,2,0,0,0.333,11 2/3,17,2,0,1,3,7,7,1.46,0,0,0,0,50,173,0.347,2,1,0,0,0,0,0,3,1,0,0,0,0,2,9,20,0.45,0.341,57.7,14.8,2.31,0.0,-,0.36,0.551,0.911
18,쿠에바스,KT,5.4,18,3,10,0,0,0.231,98 1/3,104,13,46,5,60,69,59,1.53,0,0,7,0,445,1663,0.268,14,2,4,2,0,4,1,18,3,0,0,0,0,8,108,118,0.92,0.287,92.4,16.9,5.49,4.21,1.30,0.351,0.415,0.766
20,배제성,KT,5.67,8,2,3,0,0,0.400,27,38,2,11,0,23,17,17,1.81,0,0,0,0,127,514,0.33,5,1,1,0,1,1,0,5,1,1,0,1,0,1,26,28,0.93,0.4,64.3,19.0,7.67,3.67,2.09,0.389,0.443,0.832
21,이채호,KT,6.17,10,0,0,0,0,-,11 2/3,12,1,5,2,8,8,8,1.46,0,0,0,0,53,195,0.286,3,2,1,3,1,0,0,1,0,0,2,0,0,1,13,12,1.08,0.306,19.5,16.7,6.17,3.86,1.60,0.365,0.524,0.889
22,최동환,KT,8.68,20,1,1,0,0,0.500,18 2/3,27,4,12,1,9,19,18,2.09,0,0,0,0,91,326,0.351,5,1,0,1,2,0,0,0,0,1,9,0,0,2,20,22,0.91,0.354,16.3,17.5,4.34,5.79,0.75,0.44,0.597,1.037
23,김재원,KT,10.38,4,0,0,0,0,-,4 1/3,3,0,8,1,4,5,5,2.54,0,0,0,0,24,99,0.214,1,0,0,1,0,3,0,0,0,0,3,0,0,1,4,4,1.0,0.273,24.8,22.8,8.31,16.62,0.50,0.5,0.286,0.786
24,김동현,KT,13.5,3,0,0,0,0,-,3 1/3,7,2,3,0,4,5,5,3.0,0,0,0,0,19,66,0.438,0,0,0,0,0,3,0,0,0,0,2,0,0,1,1,4,0.25,0.5,22.0,19.8,10.8,8.1,1.33,0.526,0.813,1.339
25,한차현,KT,16.2,2,0,0,0,0,-,1 2/3,4,0,2,0,1,3,3,3.6,0,0,0,0,11,40,0.444,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,1.0,0.5,20.0,24.0,5.4,10.8,0.50,0.545,0.444,0.989
26,이정현,KT,16.62,6,0,0,0,0,-,4 1/3,9,0,4,1,3,8,8,3.0,0,0,0,0,27,100,0.429,3,0,0,1,0,0,0,0,0,0,6,0,0,0,5,5,1.0,0.474,16.7,23.1,6.23,8.31,0.75,0.519,0.571,1.09
27,강백호,KT,18.0,1,0,0,0,0,-,1,3,1,1,0,1,2,2,4.0,0,0,0,0,7,25,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.0,0.5,25.0,25.0,9.0,9.0,1.00,0.571,1.167,1.738
28,강건,KT,24.55,2,0,1,0,0,0.000,3 2/3,7,1,7,1,1,10,10,3.82,0,0,0,0,26,104,0.5,2,0,2,2,0,0,0,1,0,0,1,0,0,0,3,5,0.6,0.429,52.0,28.4,2.45,17.18,0.14,0.625,0.857,1.482
1,김원중,롯데,2.67,53,4,3,32,0,0.571,60 2/3,58,4,33,2,69,21,18,1.5,0,0,0,6,272,1117,0.25,11,2,4,1,6,7,1,0,0,4,43,38,3,3,58,48,1.21,0.338,21.1,18.4,10.24,4.9,2.09,0.347,0.366,0.713
2,심재민,롯데,3.0,4,1,0,0,0,1.000,3,5,0,1,0,2,2,1,2.0,0,0,0,0,15,48,0.357,1,0,0,0,0,1,0,0,0,1,2,0,0,0,5,2,2.5,0.417,12.0,16.0,6.0,3.0,2.00,0.4,0.429,0.829
3,홍민기,롯데,3.09,25,0,2,0,3,0.000,32,24,0,11,2,39,13,11,1.09,0,0,0,0,129,510,0.211,5,1,0,2,0,1,0,2,0,0,2,5,0,7,33,20,1.65,0.312,20.4,15.9,10.97,3.09,3.55,0.287,0.272,0.559
4,감보아,롯데,3.58,19,7,8,0,0,0.467,108,97,6,49,4,117,54,43,1.35,0,0,11,0,475,1866,0.236,16,0,6,5,0,5,0,19,7,0,0,0,0,7,121,81,1.49,0.311,98.2,17.3,9.75,4.08,2.39,0.32,0.319,0.639
5,데이비슨,롯데,3.65,22,10,5,0,0,0.667,123 1/3,123,10,48,5,119,53,50,1.39,0,0,11,0,529,2100,0.262,20,2,4,2,0,4,1,22,10,0,0,0,0,12,120,110,1.09,0.329,95.5,17.0,8.68,3.5,2.48,0.335,0.377,0.712
6,정성종,롯데,3.86,2,0,0,0,0,-,2 1/3,3,1,0,0,0,1,1,1.29,0,0,0,0,10,37,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1.33,0.222,18.5,15.9,0.0,0.0,-,0.3,0.7,1.0
7,나균안,롯데,3.87,28,3,7,0,0,0.300,137 1/3,143,13,50,5,116,67,59,1.41,0,0,9,0,601,2328,0.268,23,3,7,5,0,3,0,26,2,1,1,0,0,8,140,140,1.0,0.317,83.1,17.0,7.6,3.28,2.32,0.333,0.395,0.728
8,정현수,롯데,3.97,82,2,0,0,12,1.000,47 2/3,34,4,26,2,47,23,21,1.26,0,0,0,0,203,851,0.201,9,0,3,3,0,2,0,0,0,2,9,15,0,5,45,46,0.98,0.248,10.4,17.9,8.87,4.91,1.81,0.31,0.325,0.635
9,김강현,롯데,4.0,67,2,2,0,4,0.500,72,69,9,21,7,36,37,32,1.25,0,0,0,0,306,1135,0.254,15,1,2,4,0,4,0,0,0,2,19,1,0,6,95,76,1.25,0.26,16.9,15.8,4.5,2.63,1.71,0.319,0.415,0.734
9,송재영,롯데,4.0,46,1,0,0,3,1.000,27,19,3,24,0,28,13,12,1.59,0,0,0,0,121,491,0.202,4,0,1,2,0,2,0,0,0,1,6,4,0,5,24,25,0.96,0.246,10.7,18.2,9.33,8.0,1.17,0.358,0.34,0.698
11,정철원,롯데,4.24,75,8,3,0,21,0.727,70,72,4,28,7,55,34,33,1.43,0,0,0,6,312,1169,0.268,13,1,3,5,2,5,0,0,0,8,4,27,0,7,73,74,0.99,0.316,15.6,16.7,7.07,3.6,1.96,0.346,0.368,0.714
12,김태현,롯데,4.5,1,0,0,0,0,-,2,1,0,4,0,2,2,1,2.5,0,0,0,0,12,51,0.143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0.67,0.167,51.0,25.5,9.0,18.0,0.50,0.417,0.143,0.56
13,박세웅,롯데,4.93,29,11,13,0,0,0.458,160 2/3,183,15,54,8,156,99,88,1.48,0,0,12,0,722,2694,0.282,46,1,8,4,0,14,1,28,11,0,0,0,0,9,171,142,1.2,0.349,92.9,16.8,8.74,3.02,2.89,0.343,0.426,0.769
14,이민석,롯데,5.26,20,2,5,0,0,0.286,87 1/3,104,10,56,2,61,56,51,1.83,0,0,4,0,417,1596,0.295,13,2,3,4,0,2,0,17,2,0,0,0,0,8,105,86,1.22,0.33,79.8,18.3,6.29,5.77,1.09,0.391,0.429,0.82
15,최준용,롯데,5.3,49,4,4,1,17,0.500,54 1/3,50,5,16,6,62,35,32,1.21,0,0,0,4,234,910,0.243,9,1,4,2,0,3,0,0,0,4,4,17,0,1,43,53,0.81,0.319,18.6,16.7,10.27,2.65,3.88,0.313,0.369,0.682
16,반즈,롯데,5.32,8,3,4,0,0,0.429,45 2/3,47,4,17,2,38,31,27,1.4,0,0,3,0,204,761,0.258,14,2,2,1,0,2,0,8,3,0,0,0,0,2,55,43,1.28,0.305,95.1,16.7,7.49,3.35,2.24,0.327,0.423,0.75
17,박진,롯데,5.32,51,3,3,1,3,0.500,69 1/3,76,10,22,1,50,42,41,1.41,0,0,0,1,302,1172,0.277,10,3,1,4,0,5,0,5,0,3,11,5,1,8,70,82,0.85,0.303,23.0,16.9,6.49,2.86,2.27,0.329,0.445,0.774
18,정우준,롯데,5.4,3,0,0,0,0,-,3 1/3,6,0,0,1,3,2,2,1.8,0,0,0,0,16,58,0.4,3,0,0,0,0,0,0,0,0,0,2,0,0,1,2,4,0.5,0.5,19.3,17.4,8.1,0.0,-,0.438,0.6,1.038
19,한현희,롯데,6.23,3,0,0,0,1,-,8 2/3,13,2,2,1,8,6,6,1.73,0,0,0,0,41,161,0.342,2,0,0,0,0,1,0,2,0,0,0,0,0,1,5,12,0.42,0.393,53.7,18.6,8.31,2.08,4.00,0.39,0.553,0.943
20,김상수,롯데,6.38,45,0,1,2,3,0.000,36 2/3,48,4,18,3,27,26,26,1.8,0,0,0,0,180,644,0.314,10,0,2,4,2,1,0,0,0,0,14,7,1,2,44,38,1.16,0.349,14.3,17.6,6.63,4.42,1.50,0.388,0.458,0.846
21,구승민,롯데,7.0,11,0,1,0,1,0.000,9,9,1,7,1,10,10,7,1.78,0,0,0,0,45,187,0.243,1,1,0,0,0,0,0,0,0,0,5,2,0,0,10,8,1.25,0.308,17.0,20.8,10.0,7.0,1.43,0.378,0.405,0.783
22,윤성빈,롯데,7.67,31,1,2,0,0,0.333,27,26,3,20,4,44,23,23,1.7,0,0,0,0,130,524,0.245,7,0,0,0,1,6,0,1,0,1,9,1,0,0,14,22,0.64,0.39,16.9,19.4,14.67,6.67,2.20,0.385,0.396,0.781
23,박준우,롯데,8.03,11,1,2,0,1,0.333,12 1/3,21,0,6,1,11,11,11,2.19,0,0,0,1,64,238,0.368,3,1,0,0,0,0,0,1,0,1,1,1,0,0,13,12,1.08,0.457,21.6,19.3,8.03,4.38,1.83,0.438,0.456,0.894
24,벨라스케즈,롯데,8.23,11,1,4,0,0,0.200,35,47,7,18,3,28,32,32,1.86,0,0,1,0,168,651,0.324,10,1,2,0,0,1,2,7,1,0,1,0,0,2,33,37,0.89,0.364,59.2,18.6,7.2,4.63,1.56,0.41,0.552,0.962
25,박진형,롯데,8.44,7,0,0,0,0,-,5 1/3,9,1,3,0,5,7,5,2.25,0,0,0,0,29,104,0.346,3,0,0,0,0,0,0,0,0,0,4,0,0,0,7,5,1.4,0.4,14.9,19.5,8.44,5.06,1.67,0.414,0.577,0.991
26,이영재,롯데,9.0,3,0,0,0,0,-,2,5,1,0,1,2,2,2,2.5,0,0,0,0,11,43,0.5,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,2.0,0.571,14.3,21.5,9.0,0.0,-,0.545,0.9,1.445
27,김진욱,롯데,10.0,14,1,3,0,0,0.250,27,42,10,16,2,24,32,30,2.15,0,0,1,2,136,544,0.365,6,0,2,1,0,0,0,6,1,0,0,2,0,2,27,23,1.17,0.39,38.9,20.1,8.0,5.33,1.50,0.448,0.678,1.126
28,박시영,롯데,11.05,11,1,0,0,0,1.000,7 1/3,9,0,9,2,10,9,9,2.45,0,0,0,0,42,169,0.29,4,0,0,0,0,0,0,0,0,1,2,1,0,0,7,5,1.4,0.429,15.4,23.0,12.27,11.05,1.11,0.476,0.419,0.895
29,박세현,롯데,14.73,3,0,0,0,0,-,3 2/3,8,1,1,1,4,6,6,2.45,0,0,0,0,21,65,0.421,5,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0.4,0.5,21.7,17.7,9.82,2.45,4.00,0.476,0.842,1.318
1,김민재,KIA,0.0,1,0,0,0,0,-,2,2,0,0,0,1,0,0,1.0,0,0,0,0,8,21,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1.5,0.286,21.0,10.5,4.5,0.0,-,0.25,0.25,0.5
1,유지성,KIA,0.0,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.0,0,0,0,0,3,10,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2.0,0.0,10.0,10.0,0.0,0.0,-,0.0,0.0,0.0
3,성영탁,KIA,1.55,45,3,2,0,7,0.600,52 1/3,38,2,13,0,30,11,9,0.97,0,0,0,0,198,753,0.209,6,0,2,1,0,1,0,0,0,3,5,5,0,7,69,46,1.5,0.238,16.7,14.4,5.16,2.24,2.31,0.26,0.275,0.535
4,네일,KIA,2.25,27,8,4,0,0,0.667,164 1/3,135,6,41,15,152,46,41,1.07,0,0,19,0,664,2521,0.225,18,1,7,2,0,4,0,27,8,0,0,0,0,18,204,110,1.85,0.291,93.4,15.3,8.32,2.25,3.71,0.291,0.289,0.58
5,김현수,KIA,2.45,18,0,0,0,0,-,18 1/3,17,2,13,1,11,5,5,1.64,0,0,0,0,86,309,0.243,3,1,1,1,5,2,0,0,0,0,12,0,0,0,16,27,0.59,0.259,17.2,16.9,5.4,6.38,0.85,0.365,0.4,0.765
6,김기훈,KIA,3.25,24,1,1,0,0,0.500,27 2/3,25,2,10,1,27,11,10,1.27,0,0,0,0,117,464,0.245,8,1,1,3,0,2,0,0,0,1,2,1,0,0,15,38,0.39,0.303,19.3,16.8,8.78,3.25,2.70,0.31,0.402,0.712
7,전상현,KIA,3.34,74,7,5,1,25,0.583,70,64,4,20,2,50,30,26,1.2,0,0,0,7,290,1048,0.242,15,0,1,3,3,3,0,0,0,7,5,31,0,7,75,78,0.96,0.282,14.2,15.0,6.43,2.57,2.50,0.298,0.345,0.643
8,올러,KIA,3.62,26,11,7,0,0,0.611,149,125,8,47,8,169,64,60,1.15,1,0,16,0,620,2490,0.226,25,3,5,6,0,2,0,26,11,0,1,0,0,5,123,143,0.86,0.305,95.8,16.7,10.21,2.84,3.60,0.293,0.325,0.618
