순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS
2,김범수,한화,2.25,73,2,1,2,6,0.667,48,30,0,22,4,41,17,12,1.08,0,0,0,0,195,780,0.181,5,0,2,1,1,1,0,0,0,2,9,14,2,6,48,48,1.0,0.238,10.7,16.3,7.69,4.13,1.86,0.29,0.211,0.501
2,한승혁,한화,2.25,71,3,3,3,16,0.500,64,56,4,23,7,53,18,16,1.23,0,0,0,5,269,1002,0.236,5,1,2,0,1,3,0,0,0,3,10,28,1,4,79,49,1.61,0.289,14.1,15.7,7.45,3.23,2.3,0.322,0.316,0.638
4,정우주,한화,2.85,51,3,0,0,3,1.000,53 2/3,34,6,21,10,82,18,17,1.02,0,0,0,0,228,1007,0.177,6,1,3,2,0,3,1,2,0,3,15,5,0,0,27,51,0.53,0.264,19.7,18.8,13.75,3.52,3.9,0.289,0.313,0.602
5,와이스,한화,2.87,30,16,5,0,0,0.762,178 2/3,127,13,56,13,207,63,57,1.02,0,0,21,0,725,2837,0.197,30,1,4,6,0,5,2,30,16,0,0,0,0,7,168,150,1.12,0.264,94.6,15.9,10.43,2.82,3.7,0.272,0.307,0.579
6,김기중,한화,3.07,5,0,1,0,0,0.000,14 2/3,16,0,6,1,8,5,5,1.5,0,0,0,0,66,259,0.276,2,1,0,1,0,1,0,2,0,0,2,0,0,1,17,18,0.94,0.314,51.8,17.7,4.91,3.68,1.33,0.348,0.345,0.693
7,김서현,한화,3.14,69,2,4,33,2,0.333,66,52,4,31,8,71,23,23,1.26,0,0,0,4,280,1124,0.222,7,3,5,2,3,7,0,0,0,2,52,38,2,4,62,51,1.22,0.298,16.3,17.0,9.68,4.23,2.29,0.331,0.329,0.66
8,류현진,한화,3.23,26,9,7,0,0,0.563,139 1/3,144,12,25,4,122,54,50,1.21,0,0,12,0,574,2268,0.267,22,3,5,0,2,2,0,26,9,0,0,0,0,13,156,118,1.32,0.325,87.2,16.3,7.88,1.61,4.88,0.304,0.385,0.689
9,김종수,한화,3.25,63,4,5,0,5,0.444,63 2/3,57,5,36,4,59,30,23,1.46,0,0,0,0,282,1104,0.245,17,1,4,5,1,2,1,0,0,4,10,5,0,4,50,72,0.69,0.299,17.5,17.3,8.34,5.09,1.64,0.349,0.391,0.74
10,박준영,한화,3.6,1,0,0,0,0,-,5,3,0,6,0,3,2,2,1.8,0,0,0,0,24,110,0.176,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,9,0.33,0.2,110.0,22.0,5.4,10.8,0.5,0.375,0.176,0.551
11,윤산흠,한화,3.78,12,0,0,0,0,-,16 2/3,16,1,5,3,17,7,7,1.26,0,0,0,0,73,268,0.246,5,0,0,0,0,1,1,1,0,0,4,0,0,2,21,11,1.91,0.319,22.3,16.1,9.18,2.7,3.4,0.329,0.369,0.698
12,이태양,한화,3.97,14,0,1,0,0,0.000,11 1/3,14,0,5,1,8,5,5,1.68,0,0,0,1,51,181,0.318,5,0,1,0,1,0,0,0,0,0,4,1,0,1,11,11,1.0,0.389,12.9,16.0,6.35,3.97,1.6,0.4,0.432,0.832
13,문동주,한화,4.02,24,11,5,0,0,0.688,121,112,7,31,3,135,57,54,1.18,1,0,11,0,501,1947,0.243,16,5,3,4,0,11,0,23,11,0,2,0,0,2,109,108,1.01,0.326,81.1,16.1,10.04,2.31,4.35,0.293,0.346,0.639
14,조동욱,한화,4.05,68,3,3,2,5,0.500,60,77,4,29,4,43,29,27,1.77,0,0,0,1,283,1068,0.313,16,0,2,2,3,7,1,2,1,2,12,9,2,10,75,53,1.42,0.363,15.7,17.8,6.45,4.35,1.48,0.391,0.427,0.818
15,박상원,한화,4.19,74,4,3,0,16,0.571,66 2/3,67,4,21,8,52,35,31,1.32,0,0,0,3,294,1128,0.261,14,1,4,4,0,4,0,0,0,4,1,32,0,1,64,78,0.82,0.307,15.2,16.9,7.02,2.84,2.48,0.331,0.37,0.701
16,주현상,한화,5.18,48,5,2,1,3,0.714,41 2/3,59,8,10,3,37,25,24,1.66,0,0,0,2,193,776,0.331,14,2,2,0,0,1,0,0,0,5,10,8,0,2,36,46,0.78,0.383,16.2,18.6,7.99,2.16,3.7,0.377,0.567,0.944
